Name,Latitude,Longitude,Area, Recreation visitors ,Description
Acadia,44.35,-68.21,"49,071.40 acres (198.6 km2)"," 4,069,098 ","Covering most of Mount Desert Island and other coastal islands, Acadia features the tallest mountain on the Atlantic coast of the United States, granite peaks, ocean shoreline, woodlands, and lakes. There are freshwater, estuary, forest, and intertidal habitats.[14][15]"
American Samoa,-14.25,-170.68,"8,256.67 acres (33.4 km2)"," 8,495 ","The southernmost national park is on three Samoan islands and protects coral reefs, rainforests, volcanic mountains, and white beaches. The area is also home to flying foxes, brown boobies, sea turtles, and 900 species of fish.[16]"
Arches,38.68,-109.57,"76,678.98 acres (310.3 km2)"," 1,806,865 ","This site features more than 2,000 natural sandstone arches, with some of the most popular arches in the park being Delicate Arch, Landscape Arch and Double Arch.[17] Millions of years of erosion have created these structures in a desert climate where the arid ground has life-sustaining biological soil crusts and potholes that serve as natural water-collecting basins. Other geologic formations include stone pinnacles, fins, and balancing rocks.[18]"
Badlands,43.75,-102.5,"242,755.94 acres (982.4 km2)"," 1,224,226 ","The Badlands are a collection of buttes, pinnacles, spires, and mixed-grass prairies. The White River Badlands contain the largest assemblage of known late Eocene and Oligocene mammal fossils.[19] The wildlife includes bison, bighorn sheep, black-footed ferrets, and prairie dogs.[20]"
Big Bend ,29.25,-103.25,"801,163.21 acres (3,242.2 km2)"," 581,220 ","Named for the prominent bend in the Rio Grande along the U.S.–Mexico border, this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders.[21] (BR)[22]"
Biscayne,25.65,-80.08,"172,971.11 acres (700.0 km2)"," 705,655 ","The central part of Biscayne Bay, this mostly underwater park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian manatee, American crocodile, various sea turtles, and peregrine falcon.[23]"
Black Canyon of the Gunnison,38.57,-107.72,"30,779.83 acres (124.6 km2)"," 308,910 ","The park protects a quarter of the Gunnison River, which slices sheer canyon walls from dark Precambrian-era rock. The canyon features some of the steepest cliffs and oldest rock in North America, and is a popular site for river rafting and rock climbing. The deep, narrow canyon is composed of gneiss and schist, which appears black when in shadow.[24]"
Bryce Canyon,37.57,-112.18,"35,835.08 acres (145.0 km2)"," 2,104,600 ","Bryce Canyon is a geological amphitheater on the Paunsaugunt Plateau with hundreds of tall, multicolored sandstone hoodoos formed by erosion. The region was originally settled by Native Americans and later by Mormon pioneers.[25]"
Canyonlands,38.2,-109.93,"337,597.83 acres (1,366.2 km2)"," 911,594 ","This landscape was eroded into a maze of canyons, buttes, and mesas by the combined efforts of the Colorado River, Green River, and their tributaries, which divide the park into three districts. The park also contains rock pinnacles and arches, as well as artifacts from Ancient Pueblo peoples.[26]"
Capitol Reef,38.2,-111.17,"241,904.50 acres (979.0 km2)"," 1,405,353 ","The park's Waterpocket Fold is a 100-mile (160 km) monocline that exhibits the earth's diverse geologic layers. Other natural features include monoliths, cliffs, and sandstone domes shaped like the United States Capitol.[27]"
