"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","Mike Trout","LAA","CF","1","3","1.1","0.4","1.0","-"
"2","Jose Altuve","HOU","2B","1","4","2.1","0.5","2.0","-"
"3","Nolan Arenado","COL","3B","2","13","3.9","1.9","3.0","-"
"4","Trea Turner","WSH","SS","2","13","6.0","2.5","5.0","+1.0"
"5","Paul Goldschmidt","ARI","1B","3","18","7.1","3.9","4.0","-1.0"
"6","Bryce Harper","WSH","RF","4","15","7.4","2.6","6.0","-"
"7","Mookie Betts","BOS","RF","3","17","7.5","2.8","8.0","+1.0"
"8","Charlie Blackmon","COL","CF","4","12","7.7","2.3","9.0","+1.0"
"9","Giancarlo Stanton","NYY","RF","2","20","9.0","4.2","10.0","+1.0"
"10","Clayton Kershaw","LAD","SP","3","19","9.3","3.7","7.0","-3.0"
"11","Kris Bryant","CHC","3B,RF","4","17","11.9","2.6","13.0","+2.0"
"12","Max Scherzer","WSH","SP","5","23","12.6","4.3","11.0","-1.0"
"13","Carlos Correa","HOU","SS","8","28","13.9","4.5","12.0","-1.0"
"14","Joey Votto","CIN","1B","6","22","14.4","3.8","18.0","+4.0"
"15","Manny Machado","BAL","3B","8","27","16.0","3.8","17.0","+2.0"
"16","Chris Sale","BOS","SP","6","22","16.2","3.2","14.0","-2.0"
"17","Corey Kluber","CLE","SP","7","26","16.3","3.9","15.0","-2.0"
"18","Freddie Freeman","ATL","1B,3B","8","28","17.3","4.2","19.0","+1.0"
"19","Anthony Rizzo","CHC","1B,2B","7","25","18.3","3.9","21.0","+2.0"
"20","Aaron Judge","NYY","RF","10","47","21.1","6.5","16.0","-4.0"
"21","Francisco Lindor","CLE","SS","15","29","21.3","3.0","20.0","-1.0"
"22","Jose Ramirez","CLE","2B,3B","14","61","24.2","8.3","22.0","-"
"23","George Springer","HOU","CF,RF","12","40","25.4","4.7","28.0","+5.0"
"24","Cody Bellinger","LAD","1B,LF","18","59","26.1","6.8","25.0","+1.0"
"25","Josh Donaldson","TOR","3B","15","49","27.2","5.7","29.0","+4.0"
"26","Stephen Strasburg","WSH","SP","15","45","30.0","6.2","27.0","+1.0"
"27","J.D. Martinez","BOS","RF","12","30","21.4","4.0","24.0","-3.0"
"28","Gary Sanchez","NYY","C","11","66","31.3","10.4","23.0","-5.0"
"29","Madison Bumgarner","SF","SP","22","67","31.8","9.0","26.0","-3.0"
"30","Jose Abreu","CWS","1B","19","67","32.3","8.1","37.0","+7.0"
"31","Corey Seager","LAD","SS","20","69","33.7","11.4","31.0","-"
"32","Brian Dozier","MIN","2B","23","60","34.6","6.4","34.0","+2.0"
"33","Noah Syndergaard","NYM","SP","23","68","34.8","8.8","30.0","-3.0"
"34","Jacob deGrom","NYM","SP","26","52","38.6","7.2","36.0","+2.0"
"35","Dee Gordon","SEA","2B","17","85","39.4","12.9","32.0","-3.0"
"36","Nelson Cruz","SEA","RF,DH","12","59","39.5","9.1","54.0","+18.0"
"37","Carlos Carrasco","CLE","SP","28","54","39.8","6.3","33.0","-4.0"
"38","Edwin Encarnacion","CLE","1B,DH","30","66","40.8","8.0","50.0","+12.0"
"39","Starling Marte","PIT","LF,CF","18","65","43.3","9.7","53.0","+14.0"
"40","Justin Upton","LAA","LF","29","79","43.4","9.9","45.0","+5.0"
"41","Andrew Benintendi","BOS","LF,CF","29","82","43.9","10.2","41.0","-"
"42","Alex Bregman","HOU","3B,SS","32","63","44.0","8.0","40.0","-2.0"
"43","Rhys Hoskins","PHI","1B,LF","26","77","44.8","11.4","44.0","+1.0"
"44","Luis Severino","NYY","SP","28","73","46.1","9.1","35.0","-9.0"
"45","Zack Greinke","ARI","SP","23","73","46.1","11.4","42.0","-3.0"
"46","Marcell Ozuna","STL","LF","32","83","46.1","11.9","43.0","-3.0"
"47","Christian Yelich","MIL","CF","20","72","46.3","11.2","52.0","+5.0"
"48","Anthony Rendon","WSH","3B","29","64","47.0","9.3","48.0","-"
"49","Justin Verlander","HOU","SP","26","75","47.7","10.8","39.0","-10.0"
"50","Daniel Murphy","WSH","2B","24","84","50.0","15.8","62.0","+12.0"
"51","Yu Darvish","CHC","SP","39","99","54.1","13.2","49.0","-2.0"
"52","Kenley Jansen","LAD","RP","30","90","54.4","12.2","38.0","-14.0"
"53","A.J. Pollock","ARI","CF","34","104","56.5","14.8","61.0","+8.0"
"54","Khris Davis","OAK","LF,DH","41","77","56.9","9.0","69.0","+15.0"
"55","Wil Myers","SD","1B","49","84","58.1","7.9","66.0","+11.0"
"56","Chris Archer","TB","SP","42","74","59.9","7.4","55.0","-1.0"
"57","Elvis Andrus","TEX","SS","43","82","60.9","8.8","63.0","+6.0"
"58","Carlos Martinez","STL","SP","43","105","61.3","13.6","51.0","-7.0"
"59","Justin Turner","LAD","3B","24","112","61.6","16.8","68.0","+9.0"
"60","Tommy Pham","STL","LF,CF","31","111","61.7","16.9","59.0","-1.0"
"61","Robinson Cano","SEA","2B","35","130","65.3","19.0","79.0","+18.0"
"62","Craig Kimbrel","BOS","RP","33","120","65.8","16.3","47.0","-15.0"
"63","Robbie Ray","ARI","SP","42","184","66.0","25.9","46.0","-17.0"
"64","Byron Buxton","MIN","CF","43","171","67.5","25.3","57.0","-7.0"
"65","Jonathan Schoop","BAL","2B","41","120","67.6","19.0","60.0","-5.0"
"66","Eric Hosmer","SD","1B","29","132","69.8","18.9","77.0","+11.0"
"67","Yoenis Cespedes","NYM","LF ","41","117","69.8","17.9","84.0","+17.0"
"68","Andrew McCutchen","SF","CF,RF","44","97","70.1","9.8","80.0","+12.0"
"69","Xander Bogaerts","BOS","SS","46","102","70.3","13.2","72.0","+3.0"
"70","Aaron Nola","PHI","SP","39","110","73.8","14.9","70.0","-"
"71","James Paxton","SEA","SP","50","97","74.6","11.0","75.0","+4.0"
"72","Miguel Cabrera","DET","1B","43","132","74.9","18.1","88.0","+16.0"
"73","Lorenzo Cain","MIL","CF","48","101","74.9","11.6","85.0","+12.0"
"74","Jean Segura","SEA","SS","33","121","76.6","18.4","76.0","+2.0"
"75","Buster Posey","SF","C,1B","31","149","76.7","25.5","56.0","-19.0"
"76","Dallas Keuchel","HOU","SP","50","108","78.1","13.4","65.0","-11.0"
"77","Ryan Braun","MIL","LF","42","116","79.6","16.3","99.0","+22.0"
"78","Jose Quintana","CHC","SP","57","97","80.0","11.0","71.0","-7.0"
"79","Aroldis Chapman","NYY","RP","57","172","81.0","19.9","67.0","-12.0"
"80","Willson Contreras","CHC","C","36","251","81.5","41.1","58.0","-22.0"
"81","Billy Hamilton","CIN","CF","48","179","84.4","34.4","64.0","-17.0"
"82","Gerrit Cole","HOU","SP","73","141","89.9","15.1","78.0","-4.0"
"83","Whit Merrifield","KC","2B,RF","57","155","91.1","24.0","81.0","-2.0"
"84","Masahiro Tanaka","NYY","SP","60","118","91.3","13.5","86.0","+2.0"
"85","Rougned Odor","TEX","2B","46","139","91.4","23.3","97.0","+12.0"
"86","Roberto Osuna","TOR","RP","69","154","94.3","19.4","82.0","-4.0"
"87","Travis Shaw","MIL","3B","61","199","95.6","27.6","87.0","-"
"88","Rafael Devers","BOS","3B","63","133","96.4","19.6","93.0","+5.0"
"89","Adrian Beltre","TEX","3B,DH","61","162","97.2","23.8","145.0","+56.0"
"90","Corey Knebel","MIL","RP","62","177","100.2","24.2","74.0","-16.0"
"91","Shohei Ohtani","LAA","SP,DH","73","168","100.5","20.1","73.0","-18.0"
"92","DJ LeMahieu","COL","2B","57","174","103.1","28.6","110.0","+18.0"
"93","Kyle Seager","SEA","3B","76","160","103.8","19.0","127.0","+34.0"
"94","David Price","BOS","SP,RP","69","196","104.1","25.6","102.0","+8.0"
"95","Domingo Santana","MIL","RF","60","268","99.8","40.8","83.0","-12.0"
"96","Miguel Sano","MIN","1B,3B,DH","60","175","100.4","25.7","94.0","-2.0"
"97","Kenneth Giles","HOU","RP","71","182","107.2","28.1","90.0","-7.0"
"98","Trevor Story","COL","SS","68","213","107.4","31.1","106.0","+8.0"
"99","Jake Arrieta","","SP ","60","148","101.9","23.5","89.0","-10.0"
"100","Adam Jones","BAL","CF","75","184","108.5","23.2","131.0","+31.0"
"101","Jon Lester","CHC","SP","87","147","108.5","14.2","105.0","+4.0"
"102","Yasiel Puig","LAD","RF","67","152","109.2","18.3","109.0","+7.0"
"103","Justin Smoak","TOR","1B","79","161","111.4","20.4","133.0","+30.0"
"104","Ender Inciarte","ATL","CF","65","156","112.7","17.5","129.0","+25.0"
"105","Jake Lamb","ARI","3B","64","203","112.9","30.4","123.0","+18.0"
